iter	Passed	Remaining
779	5197	1466
780	5200	1458
781	5204	1450
782	5206	1442
783	5208	1434
784	5210	1427
785	5212	1419
786	5251	1421
787	5254	1413
788	5257	1405
789	5263	1399
790	5266	1391
791	5268	1383
792	5270	1375
793	5272	1367
794	5279	1361
795	5281	1353
796	5285	1346
797	5287	1338
798	5294	1331
799	5331	1332
800	5333	1325
801	5335	1317
802	5344	1311
803	5346	1303
804	5348	1295
805	5350	1287
806	5353	1280
807	5359	1273
808	5361	1265
809	5364	1258
810	5367	1250
811	5380	1245
812	5382	1238
813	5389	1231
814	5391	1223
815	5394	1216
816	5398	1209
817	5405	1202
818	5408	1195
819	5410	1187
820	5413	1180
821	5435	1177
822	5438	1169
823	5441	1162
824	5468	1160
825	5471	1152
826	5474	1145
827	5476	1137
828	5478	1130
829	5485	1123
830	5528	1124
831	5531	1116
832	5533	1109
833	5535	1101
834	5537	1094
835	5539	1086
836	5568	1084
837	5570	1076
838	5578	1070
839	5581	1063
840	5583	1055
841	5586	1048
842	5592	1041
843	5595	1034
844	5597	1026
845	5599	1019
846	5601	1011
847	5609	1005
848	5617	999
849	5625	992
850	5627	985
851	5629	977
852	5646	973
853	5650	966
854	5655	959
855	5659	952
856	5661	944
857	5663	937
858	5665	930
859	5667	922
860	5669	915
861	5671	908
862	5674	900
863	5676	893
864	5678	886
865	5708	883
866	5710	876
867	5712	868
868	5714	861
869	5717	854
870	5718	847
871	5724	840
872	5726	833
873	5729	825
874	5733	819
875	5740	812
876	5743	805
877	5745	798
878	5748	791
879	5754	784
880	5774	779
881	5776	772
882	5778	765
883	5780	758
884	5786	751
885	5789	744
886	5791	737
887	5794	730
888	5797	723
889	5799	716
890	5801	709
891	5804	702
892	5806	695
893	5871	696
894	5874	689
895	5880	682
896	5882	675
897	5884	668
898	5887	661
899	5890	654
900	5896	647
901	5898	640
902	5901	633
903	5904	626
904	5911	620
905	5981	620
906	5983	613
907	5985	606
908	5994	600
909	5996	593
910	5998	586
911	6000	579
912	6003	572
913	6005	565
914	6007	558
915	6009	551
916	6011	544
917	6017	537
918	6072	535
919	6075	528
920	6078	521
921	6084	514
922	6087	507
923	6089	500
924	6092	494
925	6151	491
926	6155	484
927	6157	477
928	6167	471
929	6169	464
930	6218	460
931	6220	453
932	6228	447
933	6230	440
934	6232	433
935	6234	426
936	6240	419
937	6244	412
938	6246	405
939	6247	398
940	6256	392
941	6259	385
942	6262	378
943	6294	373
944	6297	366
945	6299	359
946	6302	352
947	6307	345
948	6332	340
949	6335	333
950	6338	326
951	6345	319
952	6347	313
953	6349	306
954	6351	299
955	6430	295
956	6433	289
957	6435	282
958	6437	275
959	6442	268
960	6444	261
961	6445	254
962	6447	247
963	6449	240
964	6451	233
965	6457	227
966	6459	220
967	6461	213
968	6465	206
969	6515	201
970	6517	194
971	6523	187
972	6526	181
973	6528	174
974	6530	167
975	6532	160
976	6534	153
977	6538	147
978	6540	140
979	6542	133
980	6548	126
981	6553	120
982	6555	113
983	6558	106
984	6563	99
985	6565	93
986	6567	86
987	6569	79
988	6596	73
989	6599	66
990	6601	59
991	6603	53
992	6605	46
993	6612	39
994	6615	33
995	6617	26
996	6619	19
997	6626	13
998	6628	6
999	6630	0
